numGreen,numYellow,numBlue,avgGreen,maxGreen,minGreen,avgYellow,maxYellow,minYellow,avgBlue,maxBlue,minBlue,time
3,40,12,75.0,173.1,24.9,6.1,22.6,0.2,18.6,54.5,1.8,0.24
22,17,12,11.3,46.0,0.3,16.1,63.1,0.8,19.4,55.9,2.5,0.226
34,6,18,7.5,33.2,0.3,48.3,182.8,6.0,14.9,42.2,1.1,0.259
52,4,6,4.6,20.0,0.3,73.7,163.7,15.3,43.4,228.1,5.1,0.273
6,37,5,34.6,101.9,1.9,5.7,19.8,0.2,38.6,72.6,11.2,0.21
4,9,27,50.2,130.7,2.7,25.7,100.5,1.3,5.7,24.4,0.4,0.172
15,1,43,18.8,104.9,1.2,206.3,388.9,328.3,5.4,22.6,0.4,0.258
3,1,28,56.5,110.7,19.5,166.4,251.7,204.0,4.1,14.6,0.4,0.132
20,42,2,13.9,51.2,0.7,6.9,29.8,0.2,120.3,213.1,95.0,0.284
12,16,16,18.2,52.5,0.5,14.7,41.8,1.3,12.7,39.9,1.0,0.191
15,12,9,11.8,50.4,0.4,16.7,48.6,1.5,18.7,85.0,0.9,0.149
37,23,1,7.3,30.6,0.3,13.6,36.8,0.5,184.7,349.8,264.8,0.267
2,8,1,26.1,42.4,11.9,8.6,32.0,0.6,46.8,58.5,42.4,0.057
13,38,6,20.4,50.8,2.4,6.8,25.8,0.2,39.6,83.0,10.6,0.253
8,43,4,29.5,78.6,1.5,5.4,20.1,0.3,51.6,98.6,14.5,0.236
8,22,1,17.8,56.9,0.8,6.6,20.9,0.3,122.6,164.5,129.1,0.122
0,34,17,0.0,0.0,0.0,7.0,33.1,0.3,12.0,31.9,0.5,0.226
23,16,2,7.9,28.6,0.3,13.7,34.8,1.8,90.7,180.4,41.1,0.174
25,27,2,9.4,34.8,0.3,9.8,34.9,0.4,106.1,184.0,87.8,0.236
15,1,0,4.1,14.1,0.3,100.9,131.1,106.9,0.0,0.0,0.0,0.071
2,35,24,121.2,275.2,55.1,8.4,33.6,0.3,10.0,27.5,0.6,0.271
25,24,0,8.3,24.2,0.3,10.5,32.2,0.3,0.0,0.0,0.0,0.215
18,0,6,5.9,21.6,0.3,0.0,0.0,0.0,19.1,45.6,1.1,0.096
21,1,24,10.8,33.1,0.3,190.4,321.2,266.6,8.3,24.9,0.4,0.198
33,9,17,8.3,40.7,0.3,33.7,97.2,3.9,16.2,58.5,0.8,0.259
14,5,25,15.9,56.2,0.6,50.5,118.0,10.6,7.5,27.6,0.4,0.188
8,40,7,31.2,69.9,10.3,6.1,24.8,0.3,32.0,53.9,10.0,0.237
34,5,9,6.0,28.4,0.3,51.6,104.3,12.3,25.0,84.5,0.9,0.211
2,5,1,24.6,52.7,4.1,13.9,36.8,1.1,43.4,57.6,37.6,0.066
3,29,21,76.5,184.6,21.9,8.9,29.8,0.3,10.5,33.0,0.4,0.231
8,15,0,12.5,31.2,0.9,7.8,23.8,0.5,0.0,0.0,0.0,0.089
10,36,16,29.2,66.8,3.9,8.3,33.8,0.2,16.7,60.0,0.5,0.27
4,3,11,24.4,49.9,2.9,41.6,69.6,6.2,6.6,18.9,0.4,0.15
12,14,9,14.4,42.2,0.4,13.8,42.7,0.4,18.3,40.4,0.6,0.147
23,1,29,11.2,39.2,0.3,190.6,355.6,288.2,7.9,24.9,0.4,0.23
10,12,17,20.1,61.6,0.7,18.5,67.7,3.8,10.1,33.8,0.5,0.161
2,51,9,107.2,255.7,56.1,5.0,20.7,0.3,24.5,80.1,4.0,0.272
15,34,13,19.7,59.0,0.5,9.1,36.4,0.3,21.1,48.0,2.2,0.277
16,5,2,6.2,24.8,0.3,28.4,77.7,1.1,54.5,76.0,40.9,0.088
10,4,44,28.7,125.0,2.6,75.7,150.9,19.2,5.0,22.8,0.4,0.254
15,7,37,19.6,84.5,0.5,44.1,123.5,8.2,6.6,40.8,0.4,0.261
9,49,3,27.4,70.9,2.9,5.2,22.2,0.2,71.9,168.4,33.2,0.266
2,10,15,69.2,99.9,46.6,15.8,52.9,0.8,7.1,24.2,0.4,0.106
39,12,13,7.6,36.5,0.3,27.3,67.8,4.2,21.7,87.1,0.6,0.285
48,4,1,4.1,18.9,0.3,62.9,176.2,7.9,180.3,310.1,230.9,0.237
17,1,26,12.8,48.2,0.4,183.2,315.2,266.4,7.1,34.5,0.4,0.187
12,14,27,21.8,101.4,1.4,20.9,61.8,0.9,8.6,28.6,0.4,0.228
43,6,14,6.3,29.3,0.3,52.9,127.8,9.8,20.0,106.2,0.6,0.274
6,5,16,23.9,60.2,1.3,34.1,77.8,1.0,6.9,28.8,0.4,0.105
35,7,0,4.8,21.1,0.3,34.4,77.8,5.3,0.0,0.0,0.0,0.179
12,46,4,22.5,55.6,2.1,5.7,22.3,0.2,59.5,100.9,21.2,0.277
17,7,33,16.8,72.0,0.4,43.1,109.8,9.5,7.2,28.6,0.4,0.252
32,12,17,8.9,33.8,0.3,25.7,94.6,1.2,16.4,46.0,0.5,0.266
31,3,0,4.1,14.6,0.3,64.2,114.7,20.8,0.0,0.0,0.0,0.147
8,20,24,30.6,130.2,0.5,13.8,52.5,1.0,9.2,45.0,0.4,0.229
22,10,30,13.9,43.3,0.5,33.0,100.3,5.2,9.2,33.5,0.4,0.278
10,14,33,29.4,110.7,4.2,21.9,61.7,4.5,7.3,31.0,0.4,0.253
27,16,12,9.7,33.6,0.3,18.4,75.6,2.0,20.3,87.0,1.0,0.238
1,1,0,43.2,51.5,39.6,70.0,86.0,70.3,0.0,0.0,0.0,0.004
39,10,6,5.9,27.4,0.3,29.8,115.2,2.6,41.2,108.8,1.6,0.238
12,0,51,23.6,165.7,0.8,0.0,0.0,0.0,4.6,22.4,0.2,0.32
15,5,29,16.1,75.4,1.2,52.4,131.6,5.8,7.1,29.1,0.4,0.216
22,41,0,11.9,29.4,0.6,7.0,26.3,0.3,0.0,0.0,0.0,0.279
0,21,1,0.0,0.0,0.0,4.2,13.1,0.3,66.4,81.5,55.1,0.084
16,18,25,18.6,64.8,1.3,17.3,57.2,0.9,10.4,37.1,0.4,0.264
24,1,34,12.0,50.8,0.3,201.5,380.1,319.8,7.3,34.4,0.0,0.263
5,23,33,56.6,181.2,1.3,13.5,42.2,1.0,7.7,33.0,0.4,0.268
9,8,29,26.9,107.2,1.6,32.2,75.3,5.0,6.5,27.2,0.4,0.197
28,13,8,8.0,30.3,0.3,20.3,91.0,0.5,29.0,70.2,3.2,0.217
38,15,1,5.8,21.0,0.3,19.6,59.2,1.6,183.0,298.2,237.0,0.243
4,10,22,45.8,99.6,9.0,20.9,61.1,3.0,6.5,23.4,0.4,0.15
15,26,10,16.4,48.2,0.7,9.9,31.9,0.4,22.8,63.1,1.6,0.226
4,3,16,31.2,69.8,6.8,50.6,84.4,10.2,5.6,20.0,0.4,0.087
23,10,26,12.6,34.2,0.4,30.9,90.1,2.3,10.2,40.1,0.4,0.263
14,2,18,12.3,53.5,0.6,100.1,145.8,75.2,8.3,26.0,0.4,0.156
12,35,4,19.1,56.4,0.9,6.6,25.9,0.3,51.9,120.0,6.8,0.223
11,7,1,7.6,26.3,0.3,16.5,51.5,1.1,86.4,111.5,90.5,0.214
12,1,5,7.0,22.4,0.3,115.7,148.0,130.8,17.1,39.4,1.1,0.212
46,5,13,6.0,28.6,0.3,60.0,170.2,12.2,21.7,99.0,1.6,0.285
30,21,11,9.4,38.8,0.3,15.5,47.0,1.0,26.0,81.8,0.9,0.276
39,14,11,7.4,32.1,0.3,23.9,129.8,3.2,25.4,97.8,1.9,0.285
7,10,26,30.5,92.5,1.9,24.5,78.6,2.8,6.9,26.5,0.4,0.184
2,9,43,114.6,277.3,42.0,32.3,117.7,5.8,4.5,23.5,0.4,0.236
16,14,25,17.3,66.2,1.2,21.0,109.8,2.0,9.9,32.9,0.4,0.238
8,2,16,17.2,49.4,0.8,83.8,124.3,67.1,6.8,27.5,0.4,0.104
18,11,2,7.6,23.8,0.3,16.3,47.8,1.5,71.8,98.1,58.0,0.127
27,3,24,9.8,28.7,0.6,95.8,177.2,43.0,10.2,32.0,0.1,0.234
47,5,11,5.5,24.4,0.3,61.8,124.6,16.1,25.0,130.8,1.0,0.275
54,2,7,4.5,24.4,0.3,141.1,234.9,100.8,34.9,247.1,1.1,0.277
4,5,21,39.0,123.3,3.6,37.8,88.2,6.3,5.7,21.5,0.4,0.122
32,17,13,9.0,36.3,0.3,18.9,83.3,2.3,20.8,87.2,1.0,0.276
22,7,32,13.7,53.0,0.3,46.1,121.8,9.3,8.4,29.5,0.4,0.27
6,29,19,41.3,94.0,12.0,9.1,31.2,0.4,12.1,37.1,0.4,0.239
2,46,5,96.5,207.6,31.1,4.6,19.0,0.3,36.7,99.5,1.9,0.23
1,2,20,116.1,150.1,119.7,74.0,101.4,61.2,4.0,19.4,0.4,0.091
2,24,10,83.8,127.8,49.6,7.2,24.5,0.4,15.0,31.2,2.0,0.15
9,23,4,19.0,64.4,1.3,7.7,26.2,0.3,39.7,102.0,9.8,0.149
5,13,44,57.1,164.3,9.1,25.1,100.2,2.4,5.4,21.6,0.0,0.273
